date,site,amount_usd,category,verification,source_url,notes,mapped_category,confidence,facility_name
2026-03-31,THE AMERICAN CORRECTIONAL ASSOCIATION (FL),15550.0,detention-operations,Verified,https://api.usaspending.gov/api/v2/search/spending_by_award/,ICE contract award 70CDCR26P00000004 from USAspending (award-level obligation).,detention-operations,Partial,Unknown / multi-site
2026-03-01,"COLD BOX EXPRESS, INC. (AL)",12935.0,it-services,Verified,https://api.usaspending.gov/api/v2/search/spending_by_award/,ICE contract award 70CMSD26P00000022 from USAspending (award-level obligation).,it-services,Partial,Unknown / multi-site
2026-02-20,QUANTICO TACTICAL INCORPORATED (NC),763114.7,operations-support,Verified,https://api.usaspending.gov/api/v2/search/spending_by_award/,ICE contract award 70CMSW26FR0000016 from USAspending (award-level obligation).,operations-support,Partial,Unknown / multi-site
2026-02-20,"ATLANTIC DIVING SUPPLY, INC. (VA)",2247866.28,operations-support,Verified,https://api.usaspending.gov/api/v2/search/spending_by_award/,ICE contract award 70CMSW26FR0000015 from USAspending (award-level obligation).,operations-support,Partial,Unknown / multi-site
2026-02-19,"ATLANTIC DIVING SUPPLY, INC. (FL)",62580.0,it-services,Verified,https://api.usaspending.gov/api/v2/search/spending_by_award/,ICE contract award 70CMSW26FC0000024 from USAspending (award-level obligation).,it-services,Partial,Unknown / multi-site
2026-02-19,SIG SAUER INC. (NH),4675062.21,operations-support,Verified,https://api.usaspending.gov/api/v2/search/spending_by_award/,ICE contract award 70CMSW26FC0000014 from USAspending (award-level obligation).,operations-support,Partial,Unknown / multi-site
2026-02-19,TOWN OF LANCASTER (NY),50775.0,operations-support,Verified,https://api.usaspending.gov/api/v2/search/spending_by_award/,ICE contract award 70CDCR26P00000006 from USAspending (award-level obligation).,operations-support,Partial,Unknown / multi-site
2026-02-19,"ATLANTIC DIVING SUPPLY, INC. (VA)",450996.04,it-services,Verified,https://api.usaspending.gov/api/v2/search/spending_by_award/,ICE contract award 70CMSW26FC0000023 from USAspending (award-level obligation).,it-services,Partial,Unknown / multi-site
2026-02-18,"PANAMERICA COMPUTERS, INC. (TX)",97916.6,operations-support,Verified,https://api.usaspending.gov/api/v2/search/spending_by_award/,ICE contract award 70CMSD26FR0000016 from USAspending (award-level obligation).,operations-support,Partial,Unknown / multi-site
2026-02-17,"BAYSHORE TRANSPORTATION SYSTEM, INC. (PA)",13112.0,it-services,Verified,https://api.usaspending.gov/api/v2/search/spending_by_award/,ICE contract award 70CMSW26P00000015 from USAspending (award-level obligation).,it-services,Partial,Unknown / multi-site
2026-02-17,"GARUD TECHNOLOGY SERVICES, INC. (DC)",3370770.18,it-services,Verified,https://api.usaspending.gov/api/v2/search/spending_by_award/,ICE contract award 70CMSW26FR0000012 from USAspending (award-level obligation).,it-services,Partial,Unknown / multi-site
