date,location,category,title,source_url
03/16/2026,"Washington County, OR",Concerning Arrest/Detention,PIRC hotline: 1 confirmed detention(s) reported 2026-03-11 to 2026-03-16,https://pircoregon.org/data-and-updates/weekly-updates/2026-3-17
03/10/2026,"Lane County, OR",Concerning Arrest/Detention,PIRC hotline: 2 confirmed detention(s) reported 2026-03-01 to 2026-03-10 (+~5 unconfirmed),https://pircoregon.org/data-and-updates/weekly-updates/2026-3-12
03/02/2026,Oregon,Concerning Arrest/Detention,PIRC monthly summary: 16 detentions reported,https://pircoregon.org/data-and-updates/weekly-updates/2026-3-2
02/22/2026,Oregon,Concerning Arrest/Detention,PIRC hotline: 1 confirmed detention(s) reported 2026-02-16 to 2026-02-22,https://pircoregon.org/data-and-updates/weekly-updates/2026-2-22
02/15/2026,"Multnomah County, OR",Concerning Arrest/Detention,PIRC hotline: 4 confirmed detention(s) reported 2026-02-09 to 2026-02-15,https://pircoregon.org/data-and-updates/weekly-updates/2026-2-15
02/10/2026,"Multnomah County, OR",Concerning Arrest/Detention,PIRC hotline: 10 confirmed detention(s) reported 2026-02-02 to 2026-02-10,https://pircoregon.org/data-and-updates/weekly-updates/2026-2-8
02/02/2026,"Washington County, OR",Concerning Arrest/Detention,PIRC hotline: 1 confirmed detention(s) reported week of 2026-02-02,https://pircoregon.org/data-and-updates/weekly-updates/2026-2-2
01/27/2026,"Multnomah County, OR",Concerning Arrest/Detention,PIRC hotline: 11 confirmed detention(s) reported week of 2026-01-27,https://pircoregon.org/data-and-updates/weekly-updates/2026-1-27
01/20/2026,"Multnomah County, OR",Concerning Arrest/Detention,PIRC hotline: 18 confirmed detention(s) reported week of 2026-01-20,https://pircoregon.org/data-and-updates/weekly-updates/2026-1-20
01/12/2026,"Multnomah County, OR",Concerning Arrest/Detention,PIRC hotline: 42 confirmed detention(s) reported week of 2026-01-12,https://pircoregon.org/data-and-updates/weekly-updates/2026-1-12
12/22/2025,"Multnomah County, OR",Concerning Arrest/Detention,PIRC hotline: 48 confirmed detention(s) reported week of 2025-12-22,https://pircoregon.org/data-and-updates/weekly-updates/2025-12-22
12/16/2025,"Multnomah County, OR",Concerning Arrest/Detention,PIRC hotline: 50 confirmed detention(s) reported week of 2025-12-16,https://pircoregon.org/data-and-updates/weekly-updates/2025-12-16
11/23/2025,"Clackamas County, OR",Concerning Arrest/Detention,PIRC hotline: 81 confirmed detention(s) reported 2025-11-17 to 2025-11-23,https://pircoregon.org/data-and-updates/weekly-updates/2025-11-23
11/16/2025,Oregon,Concerning Arrest/Detention,PIRC hotline: 96 confirmed detention(s) reported 2025-11-10 to 2025-11-16,https://pircoregon.org/data-and-updates/weekly-updates/2025-11-16
