week_of,url,confirmed_detentions,unconfirmed_reports,date_range_start,date_range_end,monthly_total,locations_mentioned,policy_signals,raw_text_excerpt
2026-03-17,https://pircoregon.org/data-and-updates/weekly-updates/2026-3-17,1,0,2026-03-11,2026-03-16,,"Washington, Portland","SAVE Act, LEAVA Act, Work permit policy, Local ordinance, Congressional action","Weekly Update for March 17, 2026
The Data
1 detention with a name reported to the PIRC hotline 3/11-3/16
Additional reports sent to PIRC of detained unknown individuals
Things we are tracking:
New data from UW tracking detentions provides greater clarity around the intensity of detentions Oregon experienced in the fall; to see the data, visit https://jsis.washington.edu/humanrights/2026/03/11/new-data-on-pnw-immigration-enforcement-reveal-powerful-surge-in-late-2025/
“Right to know who’s policin"
2026-03-12,https://pircoregon.org/data-and-updates/weekly-updates/2026-3-12,2,5,2026-03-01,2026-03-10,,"Lane, Eugene, Macadam","ICE field office activity, ICE check-in activity","Weekly Update for March 12, 2026
The Data
2 confirmed detentions reported to the PIRC hotline 3/1-3/10
1 of the people who was detained was released the same day thanks to the quick work of folks across the Lane County Rapid Response Network (see next slide)!
We have received an additional ~5 reports of people detained, but have not yet received biographical information of these individuals.
Please continue to encourage people you know to call the hotline if a loved one disappears!. And if someo"
2026-03-02,https://pircoregon.org/data-and-updates/weekly-updates/2026-3-2,0,0,2026-02-23,2026-03-01,16,"Multnomah, Clackamas, Macadam, St Johns","Work permit policy, Proposed rule change, ICE field office activity, ICE check-in activity","Weekly Update for March 2, 2026
The Data
No confirmed detentions reported to the PIRC hotline 2/23-3/1!
*While this does not mean that no one was detained in Oregon, it does mean that
we did not receive reports with names/1st hand details. We encourage folks to call the hotline with biographical information when possible, so we can track confirmed detentions without the risk of duplication/inaccurate data*
16 detentions reported to the hotline during February 2026.
Map of February detentions
Met"
2026-02-22,https://pircoregon.org/data-and-updates/weekly-updates/2026-2-22,1,0,2026-02-16,2026-02-22,,,Work permit policy,"Weekly Update for February 22, 2026
The Data
1 detention reported to the PIRC hotline 2/16-2/22
We attribute this drop in large part to ongoing enforcement in other parts of the country and also to the
incredible combined efforts of Innovation Law Lab and community documentation of ICE’s illegal detention practices.
PIRC partner of the week: Innovation Law Lab
Thanks to the documentation that you all provided, Innovation Law Lab was able to file a class action lawsuit “MJMA and Victor Cruz Gamez"
2026-02-15,https://pircoregon.org/data-and-updates/weekly-updates/2026-2-15,4,0,2026-02-09,2026-02-15,,"Multnomah, Clackamas, Macadam","ICE field office activity, ICE check-in activity","Weekly Update for February 15, 2026
The Data
4 detentions reported to the PIRC hotline 2/9-2/15, with detentions occurring in Multnomah and Clackamas counties
Half of the 14 detentions reported to PIRC this month have been during check ins at the ICE processing center at Macadam
NORCOR Update
Thanks to the incredible 40+ years of immigrant rights organizing in Oregon, Oregon does not currently have ICE detention centers. Attempts to hold people at Sheridan, NORCOR and other facilities have ultim"
2026-02-08,https://pircoregon.org/data-and-updates/weekly-updates/2026-2-8,10,0,2026-02-02,2026-02-10,,"Multnomah, Portland, Macadam","Work permit policy, Congressional action, ICE field office activity, ICE check-in activity","Weekly Update for February 8, 2026
The Data
10 detentions reported to the PIRC hotline 2/2-2/10
All detentions reported to have occurred in Multnomah, with half having occurred at checkins at the Macadam ICE facility.
89 Detentions reported to PIRC thus far this year.
Ways to Engage
While we are in a moment of fewer detentions in community, there are 3 ways we need you to engage:
Call your senators and congresspeople
Help our community prepare
Care for yourself and neighbors
Call Your Senators a"
2026-02-02,https://pircoregon.org/data-and-updates/weekly-updates/2026-2-2,1,0,,,,"Washington, Marion, Jackson, Eugene, Salem","Work permit policy, Congressional action","Weekly Update for February 2, 2026
The Data
Nine detentions reported to the per hotline from 1/26–2/1
Detentions occurred in Multnoma, Marion, Washington, and Jackson counties
This brings the January 2026 total to 79 detentions reported to PIRC
We Are Tracking the Ongoing Threats of Escalation in Oregon
Rhetoric, indicating ""
Oregon was next""
after Minnesota from unidentified the White House official.
The racial profiling and kidnapping/assault that the US citizen who is an SEIU union member in "
2026-01-27,https://pircoregon.org/data-and-updates/weekly-updates/2026-1-27,11,0,,,,"Multnomah, Washington, Marion, Macadam","Work permit policy, ICE field office activity, ICE check-in activity","Weekly Update for January 27, 2026
In the face of the horrific, ongoing violence and occupation of Minnesota and reduced enforcement reported to us this week, we wanted to take a moment this week to publicly say:
ABOLISH ICE
. We are in endless solidarity with the people of Minnesota and our immigrant neighbors. Everyone deserves safety, due process, dignity, and freedom from state persecution.
No one should be killed by the state
– not immigrants in detention centers and not people trying to sh"
2026-01-20,https://pircoregon.org/data-and-updates/weekly-updates/2026-1-20,18,0,,,,"Multnomah, Washington, Portland, Macadam",ICE field office activity,"Weekly Update for January 20, 2026
The Data
18 detentions reported to the hotline this past week
Detentions primarily occurred in Multnomah County, with a few in Washington County
We attribute this decrease to the surge in agents occupying Minnesota at this time
Of Note
See something? Say something: call the hotline if you witness drones or other unusual, surveillance-style activity in your community
We received continued reports of surveillance in communities ICE is targeting; they may not be d"
2026-01-12,https://pircoregon.org/data-and-updates/weekly-updates/2026-1-12,42,0,,,,"Multnomah, Washington, Marion, Linn, Portland",Work permit policy,"Weekly Update for January 12, 2026
The Data
42 detentions were reported to the PIRC hotline between 1/1 and 1/11
Detentions in Benton, Clark, Clatsop, Linn, Marion, Multnomah, and Washington counties
This week, we witnessed an escalation of ICE violence in Portland with the shooting of two Venezuelan Oregonians. DHS is already smearing their reputations and devaluing their humanity in an attempt to distract from its use of deadly force in an East Portland medical center parking lot.
Quote of the"
