city,state,date,type,description,source,severity
Chicago,IL,Unknown,CONSTITUTIONAL_VIOLATION,"US Citizen Says ICE Detained Her, Said Her Passport 'Isn't Real' - Newsweek(opens in a new tab)",https://www.newsweek.com/us-citizen-says-ice-detained-her-said-her-passport-isnt-real-10875767,6
Ellabell,GA,Unknown,ICE_OPERATION,Some South Korean Workers Return to Georgia Factory After U.S. Reissues Visas - The New York Times(opens in a new tab),https://www.nytimes.com/2025/11/13/us/politics/south-korea-workers-factory-return-georgia.html,5
Walton County,FL,Unknown,ICE_OPERATION,Ocegueda Gonzalez v. NOEM et al(opens in a new tab),https://habeasdockets.org/media/documents/71892904/001_051029100817-2fc80eab1fb2.pdf,5
Encinitas,CA,Unknown,ICE_OPERATION,ICE arrest outside Encinitas elementary school sparks public outcry - Times of San Diego(opens in a new tab),https://timesofsandiego.com/politics/2025/08/20/encinitas-elementary-school-ice-arrest/,7
Portland,OR,Unknown,POLICE_VIOLENCE,Portland school relocates after unrest at ICE facility creates safety concerns - kgw.com(opens in a new tab),https://www.kgw.com/article/news/local/protests/cottonwood-school-relocates-consistent-protests-outside-ice-facility/283-ca0ae70c-05c5-41c0-b55b-4baed5063b2c,7
Simi Valley,CA,Unknown,CONSTITUTIONAL_VIOLATION,US citizen says he was racially profiled as federal agents detained him outside his job - FOX 11 Los Angeles(opens in a new tab),https://www.foxla.com/news/us-citizen-detained-by-ice-simi-valley-rodrigo-almendarez,6
San Diego,CA,Unknown,ICE_OPERATION,ICE arrested a surfer after he accidentally ended up on a Camp Pendleton beach - KPBS(opens in a new tab),https://www.kpbs.org/news/border-immigration/2025/12/29/ice-arrested-a-surfer-after-he-accidentally-ended-up-on-a-camp-pendleton-beach,5
Carson,CA,Unknown,ICE_OPERATION,Judge Orders ICE To 'Release' Injured Man Held In Hospital For 37 Days Without Charges - L.A. Taco(opens in a new tab),https://lataco.com/bayron-rovidio-marin-ice,8
Bellingham,WA,Unknown,ICE_OPERATION,Lawmakers push for answers days after Border Patrol detains crew workers helping firefighters in Washington Blaze - CNN(opens in a new tab),https://www.cnn.com/2025/08/31/us/washington-fire-detain-worker-border-patrol,5
Harlingen,TX,Unknown,ICE_OPERATION,A judge blocks the deportation of Guatemalan children already waiting on the tarmac to be sent back - AP News(opens in a new tab),https://apnews.com/article/immigration-unaccompanied-children-trump-deportations-guatemala-3790909d69f19fd8cd8edffb6b3215c3,6
Washington,DC,Unknown,CONSTITUTIONAL_VIOLATION,ICE raids take toll on child-care workers in California and nationwide - Los Angeles Times(opens in a new tab),https://www.latimes.com/world-nation/story/2025-12-16/ice-raids-take-toll-on-child-care-workers-in-california-nationwide,7
Naperville,IL,Unknown,ICE_OPERATION,New Federal Court Filing Challenges Trump Administration's Most Recent Violent and Illegal Arrest Tactics in Chicago Area - National Immigrant Justice,https://immigrantjustice.org/press-release/new-federal-court-filing-challenges-trump-administrations-most-recent-violent-and-illegal-arrest-tactics-in-chicago-area/,6
Cato,NY,Unknown,ICE_OPERATION,She Was Deported in Error. Her Child Was Left Behind - The New York Times(opens in a new tab),https://www.nytimes.com/2025/11/14/us/trump-deportations-families.html,6
Houston,TX,Unknown,CONSTITUTIONAL_VIOLATION,US Citizen Responds to Being Asked to Shave Beard by ICE Agents - Newsweek(opens in a new tab),https://www.newsweek.com/us-citizen-detained-ice-shave-beard-immigration-2105494,6
Van Nuys,CA,Unknown,POLICE_VIOLENCE,Woman detained by federal agents during California immigration raid faints - KTLA 5(opens in a new tab),https://ktla.com/news/local-news/woman-detained-by-federal-agents-during-california-immigration-raid-faints/,8
Los Angeles,CA,Unknown,POLICE_VIOLENCE,79-year-old US citizen injured in Los Angeles immigration raid files $50 million claim - AP(opens in a new tab),https://apnews.com/article/immigration-raids-los-angeles-ice-lawsuit-6c94ce6e7873581e9f3bebb6f5cbb0df,8
Portland,ME,Unknown,ICE_OPERATION,ICE arrest of a Portland parent near an elementary school sparks widespread fear - Maine Public(opens in a new tab),https://www.mainepublic.org/courts-and-crime/2025-09-12/arrest-of-a-portland-parent-near-an-elementary-school-by-unidentified-agents-sparks-widespread-fear,7
Portland,OR,Unknown,POLICE_VIOLENCE,"ICE in Oregon: Pointing rifles at family, stopping teens at gunpoint, pinning man during arrest - The Oregonian(opens in a new tab)",https://www.oregonlive.com/politics/2025/10/ice-in-oregon-pointing-rifles-at-family-stopping-minors-at-gunpoint-laying-on-top-of-man-during-arrest.html,8
Chicago,IL,Unknown,POLICE_VIOLENCE,Local Police Chief Tears Into ICE for Exposing His Offices to Tear Gas - Newsweek(opens in a new tab),https://www.newsweek.com/illinois-police-chief-ice-investigations-broadview-tear-gas-10807304,8
Chicago,IL,Unknown,POLICE_VIOLENCE,Videos of fatal ICE shooting in Chicago raise questions about DHS account - The Washington Post(opens in a new tab),https://www.washingtonpost.com/immigration/2025/09/28/ice-officers-chicago-shooting-dhs-video/,7
Long Beach,CA,Unknown,ICE_OPERATION,"7 workers taken from Long Beach carwash during weekend immigration raid, manager says - Long Beach Post News(opens in a new tab)",https://lbpost.com/news/immigration/7-workers-taken-from-long-beach-carwash-during-weekend-immigration-raid-manager-says,5
Cicero,IL,Unknown,ICE_OPERATION,New Federal Court Filing Challenges Trump Administration's Most Recent Violent and Illegal Arrest Tactics in Chicago Area - National Immigrant Justice,https://immigrantjustice.org/press-release/new-federal-court-filing-challenges-trump-administrations-most-recent-violent-and-illegal-arrest-tactics-in-chicago-area/,6
Lowell,MA,Unknown,ICE_OPERATION,"ICE arrests Afghan man with brain cancer in Methuen. Now, he’s hundreds of miles from his doctors | WBUR News(opens in a new tab)",https://www.wbur.org/news/2025/10/16/afghan-man-cancer-detention-bond-ice,6
,OK,Unknown,ICE_OPERATION,Single father of 6 US citizen children sought a special visa; ICE still deported him - Dallas Morning News(opens in a new tab),https://www.msn.com/en-us/news/us/single-father-of-6-us-citizen-children-sought-a-special-visa-ice-still-deported-him/ar-AA1SXeFU?ocid=BingNewsSerp,9
Garden Grove,CA,Unknown,ICE_OPERATION,Father briefly detained by ICE after dropping off child at Garden Grove school - Orange County Register(opens in a new tab),https://www.ocregister.com/2025/08/20/father-briefly-detained-by-ice-after-dropping-off-child-at-garden-grove-school/,8
San Bernardino,CA,Unknown,POLICE_VIOLENCE,"Federal immigration agents shoot San Bernardino man's car, authorities say - CBS Los Angeles(opens in a new tab)",https://www.cbsnews.com/losangeles/news/san-bernardino-family-car-shot-ice-federal-agents/,7
Washington,DC,Unknown,POLICE_VIOLENCE,"Federal officers detain, tackle moped driver amid Trump D.C. police crackdown - The Washington Post(opens in a new tab)",https://www.washingtonpost.com/dc-md-va/2025/08/17/dc-arrests-violent-takedown-immigration/,7
Los Angeles,CA,Unknown,POLICE_VIOLENCE,TikToker arrested by federal agents while live streaming to thousands in downtown LA - ABC7,https://abc7.com/post/tatiana-martinez-arrest-video-shows-tiktok-influencer-being-detained-federal-agents-downtown-los-angeles/17717229/,7
Charleston,SC,Unknown,POLICE_VIOLENCE,"ICE Agent Pulls Gun on Woman During Raid, Ring Camera Shows - Newsweek(opens in a new tab)",https://www.newsweek.com/ice-agent-pulls-gun-ring-camera-raid-immigration-2109247,8
Kenton County,KY,Unknown,ICE_OPERATION,He has a green card and a brain tumor. DHS wants to deport him for forgery with no proof. - The Intercept(opens in a new tab),https://theintercept.com/2025/09/26/ice-detention-green-card-chicago-kentucky/,5
San Francisco,CA,Unknown,ICE_OPERATION,Pablo Sequen v. Kaiser(opens in a new tab),https://www.courtlistener.com/docket/70990996/pablo-sequen-v-kaiser/,7
New York City,NY,Unknown,ICE_OPERATION,Legal Orgs Sue Trump Admin Over Unlawful Policy of Arresting People Who Attend Mandated Court Hearings | American Civil Liberties Union(opens in a new,https://www.aclu.org/press-releases/legal-orgs-sue-trump-admin-over-unlawful-policy-of-arresting-people-who-attend-mandated-court-hearings,8
Los Angeles,CA,Unknown,ICE_OPERATION,Studio City balloon shop owner distraught after wife detained by ICE - ABC7(opens in a new tab),https://abc7.com/post/studio-city-balloon-shop-owner-distraught-wife-detained-ice/17731899/,5
Phoenix,AZ,Unknown,ICE_OPERATION,Two People Detained by Southwest Elementary School Raises Concerns · Cactus Politics(opens in a new tab),https://cactuspolitics.com/2025/08/two-people-detained-by-southwest-elementary-school-raises-concerns/,7
Chula Vista,CA,Unknown,ICE_OPERATION,What we know about ICE arrest of a parent outside Chula Vista elementary school - KPBS(opens in a new tab),https://www.kpbs.org/news/border-immigration/2025/08/08/what-we-know-about-ice-arrest-of-a-parent-outside-a-chula-vista-elementary-school,7
Los Angeles,CA,Unknown,POLICE_VIOLENCE,Pregnant US Citizen speaks out after being detained by ICE agents searching for her husband - NBC4 News(opens in a new tab),https://www.nbclosangeles.com/news/local/pregnant-us-citizen-speaks-out-ice-immigration/3761282/,8
